"id","startDate","index","distance","elapsedTime","timePerMile"
1303955331,"2017-12-06",2,1609.3,472,472.01
1303955331,"2017-12-06",3,1612.6,496,495
1303955331,"2017-12-06",4,1604.6,473,474.4
1303955331,"2017-12-06",5,170.9,46,433.18
1306385012,"2017-12-08",1,1612,497,496.18
1306385012,"2017-12-08",2,1607.1,516,516.72
1306385012,"2017-12-08",3,1610.5,489,488.65
1306385012,"2017-12-08",4,1609,464,464.1
1306385012,"2017-12-08",5,1612.8,463,462.01
1306385012,"2017-12-08",6,39.1,11,452.76
1308431535,"2017-12-09",1,1609.6,478,477.92
1308431535,"2017-12-09",2,1612.6,492,491.01
1308431535,"2017-12-09",3,1607.6,516,516.56
1308431535,"2017-12-09",4,1610.9,479,478.54
1308431535,"2017-12-09",5,1608.5,446,446.23
1308431535,"2017-12-09",6,332,90,436.27
1310122572,"2017-12-11",1,1611.7,552,551.19
1310122572,"2017-12-11",2,1610.5,532,531.62
1310122572,"2017-12-11",3,1608.8,504,504.17
1310122572,"2017-12-11",4,1606.9,510,510.77
1310122572,"2017-12-11",5,854.8,271,510.21
1312278905,"2017-12-13",1,1615.2,492,490.22
1312278905,"2017-12-13",2,1603.8,503,504.74
1312278905,"2017-12-13",3,1611.6,473,472.34
1312278905,"2017-12-13",4,1609.3,475,475.01
1312278905,"2017-12-13",5,600.9,170,455.3
1314616464,"2017-12-15",1,1612.4,457,456.13
1314616464,"2017-12-15",2,1606.9,458,458.7
1314616464,"2017-12-15",3,1608.8,464,464.16
1314616464,"2017-12-15",4,1610.9,447,446.57
1314616464,"2017-12-15",5,1174,335,459.22
1316071715,"2017-12-16",1,1610.1,477,476.77
1316071715,"2017-12-16",2,1609.2,496,496.04
1316071715,"2017-12-16",3,1609.9,478,477.83
1316071715,"2017-12-16",4,1610.9,481,480.53
1316071715,"2017-12-16",5,1609.1,436,436.07
1316071715,"2017-12-16",6,447.9,122,438.36
1318104032,"2017-12-18",1,1612.5,495,494.03
1318104032,"2017-12-18",2,1608,531,531.44
1318104032,"2017-12-18",3,1608.7,472,472.19
1318104032,"2017-12-18",4,1609.8,485,484.86
1318104032,"2017-12-18",5,1609.4,484,483.98
1318104032,"2017-12-18",6,21.9,6,440.92
1320567446,"2017-12-20",1,1610.3,460,459.73
1320567446,"2017-12-20",2,1608.7,488,488.19
1320567446,"2017-12-20",3,1610,488,487.8
1320567446,"2017-12-20",4,1609.2,469,469.04
1320567446,"2017-12-20",5,1612.4,450,449.15
1320567446,"2017-12-20",6,56.2,16,458.18
1322903024,"2017-12-22",1,1609.6,468,467.92
1322903024,"2017-12-22",2,1610.4,490,489.68
1322903024,"2017-12-22",3,1609.2,457,457.04
1322903024,"2017-12-22",4,1608.4,498,498.29
1322903024,"2017-12-22",5,1109.5,320,464.16
1324633763,"2017-12-23",1,1611.5,452,451.39
1324633763,"2017-12-23",2,1608.6,457,457.21
1324633763,"2017-12-23",3,1610.1,492,491.77
1324633763,"2017-12-23",4,1607.3,457,457.58
1324633763,"2017-12-23",5,1610.8,473,472.57
1324633763,"2017-12-23",6,46,12,419.83
1326385809,"2017-12-25",1,1611.9,433,432.31
1326385809,"2017-12-25",2,1608.1,472,472.36
1326385809,"2017-12-25",3,1609,492,492.1
1326385809,"2017-12-25",4,1611.7,480,479.3
1326385809,"2017-12-25",5,1607.1,447,447.62
1326385809,"2017-12-25",6,45.9,12,420.74
1329022907,"2017-12-27",1,1609.6,455,454.93
1329022907,"2017-12-27",2,1611.7,479,478.3
1329022907,"2017-12-27",3,1609.1,463,463.07
1329022907,"2017-12-27",4,1608.8,457,457.15
1329022907,"2017-12-27",5,1610,467,466.81
1329022907,"2017-12-27",6,530,147,446.36
1331484349,"2017-12-29",1,1609.8,457,456.87
1331484349,"2017-12-29",2,1612.5,476,475.07
1331484349,"2017-12-29",3,1606,477,477.99
1331484349,"2017-12-29",4,1612.8,471,469.99
1331484349,"2017-12-29",5,1608.2,472,472.33
1331484349,"2017-12-29",6,1610.4,429,428.72
